Resolved,Resuelto,"Cases, a case's status; Cases, a case's window, the day it was resolved"
Responded,Respondido,"Cases, the response clock"
Restrooms,Baños,"Inspections, a line item's zone"
Schedule,Programar,"Inspections, scheduling an inspection, the button"
Scheduled,Programada,"Schedule, an inspeccion on the calendar"
Scheduled,Programado,"Schedule, a turno on the calendar"
Scheduled,Programadas,"Inspections, a tab and a filter, which agree with inspecciones"
Scheduled,Programada para,"Inspections, Scheduled and Completed, the date column"
Self,Uno mismo,"Settings, Roles and Permissions, the role reference, a level of access"
Start,Iniciar,"Issue Tracker, the button that starts work on an incidencia"
TR,CAP,"HR Records, a folder, the short name for a training record"
Time,Horarios,"The side panel, the section that holds Schedule and Shift Pickup"
Updated,Actualizados,"Forms, Settings, the sync log, a column"
Valid,Válida,"Forms, the Jotform line at the top and Settings, the API key"
View,Ver,"Settings, Roles and Permissions, the role reference, a level of access"
active,activo,"Sites, a site's status, which agrees with sitio"
active,activa,"HR Records, a person's status, which agrees with persona; Staff Management, the printed profile report; Staff Management, the list"
all,todas,"Issue Tracker, the filter that agrees with incidencias"
approved,aprobada,"Inventory, a supply request's state, which agrees with solicitud"
approved,aprobado,"Vendors, a vendor's approval status, which agrees with proveedor"
assigned,asignada,"Sites, Service Details, a one-off task, which agrees with tarea"
cancelled,cancelada,"Inspections, an inspection's status, which agrees with inspección"
certification,certificación,"Staff Management, the printed timeline, a record's kind"
clock,asistencia,"Staff Management, the printed timeline, a record's kind"
closed,cerrada,"Issue Tracker, an incidencia that is finished"
completed,completado,"HR Records, a folder, a record's status, which agrees with registro"
completed,completada,"Inspections, an inspection's status, which agrees with inspección"
completed,completada,"Staff Management, the HR Files tab, a training record's status"
completed at,fecha de finalización,"Sites, the record window, a field; Staff Management, a record's printed page"
created at,fecha de creación,"Sites, the record window, a field; Staff Management, a record's printed page"
custom,personalizados,"Reports, the library, a category heading"
day,día,"Reports, a trend's bucket named in a sentence"
denied,denegada,"Inventory, a supply request's state, which agrees with solicitud"
description,descripción,"Sites, the record window, a field; Staff Management, a record's printed page"
document,documento,"Staff Management, the printed timeline, a record's kind"
escalated,escalada,"Issue Tracker, an incidencia passed up the line"
escalated,escaladas,"Issue Tracker, the filter for incidencias passed up the line"
failed,no aprobada,"Staff Management, the HR Files tab, a training record's status"
floor,piso,"Staff Management, a record's window, a field"
form,formulario,"Staff Management, the printed timeline, a record's kind"
fulfilled,entregada,"Inventory, a supply request's state, which agrees with solicitud"
inactive,inactivo,"Sites, a site's status, which agrees with sitio"
inactive,inactiva,"HR Records, a person's status, which agrees with persona; Staff Management, the printed profile report; Staff Management, the list"
inactive,inactivo,"Vendors, a vendor's approval status, which agrees with proveedor"
inspection,inspección,"Sites, the printed timeline, a record's kind; Staff Management, the printed timeline"
issue,incidencia,"Sites, the printed timeline, a record's kind; Staff Management, the printed timeline"
kind,tipo,"Sites, the record window, a field; Staff Management, a record's printed page"
label,nombre,"Sites, the record window, a field; Staff Management, a record's printed page"
labor,mano de obra,"Reports, the library, a category heading"
lookup,lista de opciones,"Staff Management, the printed timeline, a record's kind"
message,mensaje,"Staff Management, the printed timeline, a record's kind"
month,mes,"Reports, a trend's bucket named in a sentence"
notes,notas,"Sites, the record window, a field; Staff Management, a record's printed page"
off,inactiva,"Settings, Dropdown Options, a list that is off"
onboarding,incorporación,"Staff Management, the printed timeline, a record's kind"
open,abierta,"Issue Tracker, an incidencia nobody has closed"
open,abiertas,"Issue Tracker, the filter for incidencias nobody has closed"
other,otros,"Reports, the library, a category heading"
pickup,turno disponible,"Staff Management, the printed timeline, a record's kind"
priority,prioridad,"Sites, the record window, a field; Staff Management, a record's printed page"
probation,a prueba,"Vendors, a vendor's approval status"
quality,calidad,"Reports, the library, a category heading"
reported at,fecha del reporte,"Sites, the record window, a field; Staff Management, a record's printed page"
resolved,resuelta,"Issue Tracker, an incidencia that was fixed"
resolved,resueltas,"Issue Tracker, the filter for incidencias that were fixed"
resolved,resuelta,"Assigned Tasks, a tarea that was done"
schedule,horario,"Staff Management, the printed timeline, a record's kind"
scheduled,programada,"Inspections, an inspection's status, which agrees with inspección"
service,servicio,"Staff Management, the printed timeline, a record's kind"
service delivery,prestación del servicio,"Reports, the library, a category heading"
severity,gravedad,"Sites, the record window, a field; Staff Management, a record's printed page"
shift,turno,"Sites, the printed timeline, a record's kind; Staff Management, the printed timeline"
site,sitio,"Staff Management, a record's window, a field"
site name,nombre del sitio,"Sites, the record window, a field; Staff Management, a record's printed page"
status,estado,"Sites, the record window, a field; Staff Management, a record's printed page"
submitted,enviado,"HR Records, a folder, a record's status, which agrees with registro"
supplies,suministros,"Reports, the library, a category heading"
supply,suministro,"Staff Management, the printed timeline, a record's kind"
task,tarea,"Sites, the printed timeline, a record's kind; Staff Management, the printed timeline"
terminated,dada de baja,"Staff Management, the printed profile report, a person's status"
title,título,"Sites, the record window, a field; Staff Management, a record's printed page"
to,a,"Schedule, Shift Pickup and Inspections, a custom date range, between its two dates; Staff Management, the Timeline tab"
training,capacitación,"Staff Management, the printed timeline, a record's kind"
updated at,fecha de actualización,"Sites, the record window, a field; Staff Management, a record's printed page"
user,persona,"Staff Management, the printed timeline, a record's kind"
vendor,proveedor,"Staff Management, the printed timeline, a record's kind"
week,semana,"Reports, a trend's bucket named in a sentence"
zone,zona,"Sites, the record window, a field; Staff Management, a record's printed page"
{0} hour,{0} hora,"Schedule, Time off, the hours a request covers, when the count is one"
{0} hours,{0} horas,"Schedule, Time off, the hours a request covers, when the count is more than one"
{0} inspection,{0} inspección,"Schedule, Month, the inspections on a day, when the count is one"
{0} inspections,{0} inspecciones,"Schedule, Month, the inspections on a day, when the count is more than one"
{0} shift claimed with overtime risk,{0} turno tomado con riesgo de horas extra,"Shift Pickup, Analytics, the overtime warning, when the count is one"
{0} shifts claimed with overtime risk,{0} turnos tomados con riesgo de horas extra,"Shift Pickup, Analytics, the overtime warning, when the count is more than one"
{0} started today,{0} iniciado hoy,"Live Operations, how many people started today, when the count is one"
{0} started today,{0} iniciados hoy,"Live Operations, how many people started today, when the count is more than one"
{0} started on {1},{0} iniciado el {1},"Live Operations, how many people started on a day that is not today, when the count is one"
{0} started on {1},{0} iniciados el {1},"Live Operations, how many people started on a day that is not today, when the count is more than one"
{0} started,{0} iniciado,"Live Operations, the people started at a site, when the count is one"
{0} started,{0} iniciados,"Live Operations, the people started at a site, when the count is more than one"
{0} no-show,{0} no se presentó,"Shift Pickup, under the callout count, when the count is one"
{0} no-shows,{0} no se presentaron,"Shift Pickup, under the callout count, when the count is more than one"
{0} message,{0} mensaje,"Sites, Chat, when the count is one; Sites, the printed chat history"
{0} messages,{0} mensajes,"Sites, Chat, when the count is more than one; Sites, the printed chat history"
{0} entry,{0} registro,"Sites, Timeline, when the count is one"
{0} entries,{0} registros,"Sites, Timeline, when the count is more than one"
{0} staff,{0} persona,"Sites, the list, when the count is one"
{0} staff,{0} personas,"Sites, the list, when the count is more than one"
{0} task,{0} tarea,"Sites, the list, when the count is one"
{0} tasks,{0} tareas,"Sites, the list, when the count is more than one"
{0}mo ago,hace {0} mes,"HR Records, a card's last activity, when the count is one"
{0}mo ago,hace {0} meses,"HR Records, a card's last activity, when the count is more than one"
{0}y ago,hace {0} año,"HR Records, a card's last activity, when the count is one"
{0}y ago,hace {0} años,"HR Records, a card's last activity, when the count is more than one"
{0} employee,{0} persona,"HR Records, Employees, when the count is one"
{0} employees,{0} personas,"HR Records, Employees, when the count is more than one"
{0} expired,{0} vencido,"HR Records, Employees, a card, when the count is one"
{0} expired,{0} vencidos,"HR Records, Employees, a card, when the count is more than one"
{0} expiring,{0} por vencer,"HR Records, Employees, a card, when the count is one"
{0} expiring,{0} por vencer,"HR Records, Employees, a card, when the count is more than one"
{0} document,{0} documento,"HR Records, Documents, when the count is one"
{0} documents,{0} documentos,"HR Records, Documents, when the count is more than one"
{0} record,{0} registro,"HR Records, Training, when the count is one"
{0} records,{0} registros,"HR Records, Training, when the count is more than one"
{1} of {0} step complete,{1} de {0} paso completado,"HR Records, Onboarding, when the count is one"
{1} of {0} steps complete,{1} de {0} pasos completados,"HR Records, Onboarding, when the count is more than one"
{0} item,{0} elemento,"HR Records, Other, when the count is one"
{0} items,{0} elementos,"HR Records, Other, when the count is more than one"
({0} pending),({0} pendiente),"Inventory, the Requests tab, when the count is one"
({0} pending),({0} pendientes),"Inventory, the Requests tab, when the count is more than one"
{0} site,{0} sitio,"Service Catalog, a service's card, when the count is one"
{0} sites,{0} sitios,"Service Catalog, a service's card, when the count is more than one"
{0} linked,{0} vinculado,"Vendors, the list, a vendor's linked supplies, when the count is one"
{0} linked,{0} vinculados,"Vendors, the list, a vendor's linked supplies, when the count is more than one"
Exported {0} row,{0} fila exportada,"Inspections, Reports, Export CSV, when the count is one"
Exported {0} rows,{0} filas exportadas,"Inspections, Reports, Export CSV, when the count is more than one"
{0} line item,{0} elemento,"Inspections, Templates, a template's card, when the count is one"
